ResponseID	ResponseSet	Name	ExternalDataReference	EmailAddress	Status	StartDate	EndDate	Finished	Q_TotalDuration	inst_soundtest	soundtest	soundtest_T_1	soundtest_T_2	soundtest_T_3	soundtest_T_4	consent	noconsent	inst1	inst2	inst_T_1	inst_T_2	inst_T_3	inst_T_4	d_cough1a	d_cough1b	d_cough1c	d_cough2a	d_cough2b	d_cough2c	d_cough3a	d_cough3b	d_cough3c	d_cough5a	d_cough5b	d_cough5c	d_cough8a	d_cough8b	d_cough8c	d_sneeze1a	d_sneeze1b	d_sneeze1c	d_sneeze4a	d_sneeze4b	d_sneeze4c	d_sneeze5a	d_sneeze5b	d_sneeze5c	d_sneeze6a	d_sneeze6b	d_sneeze6c	d_sneeze7a	d_sneeze7b	d_sneeze7c	n_cough1a	n_cough1b	n_cough1c	n_cough2a	n_cough2b	n_cough2c	n_cough4a	n_cough4b	n_cough4c	n_cough5a	n_cough5b	n_cough5c	n_cough6a	n_cough6b	n_cough6c	n_sneeze1a	n_sneeze1b	n_sneeze1c	n_sneeze2a	n_sneeze2b	n_sneeze2c	n_sneeze5a	n_sneeze5b	n_sneeze5c	n_sneeze8a	n_sneeze8b	n_sneeze8c	n_sneeze10a	n_sneeze10b	n_sneeze10c	infant_d_cough1a	infant_d_cough1b	infant_d_cough1c	infant_d_cough2a	infant_d_cough2b	infant_d_cough2c	infant_n_cough1a	infant_n_cough1b	infant_n_cough1c	infant_n_cough2a	infant_n_cough2b	infant_n_cough2c	inst_PVD	PVD1	PVD2	PVD3	PVD4	PVD5	PVD6	PVD7	PVD8	PVD9	PVD10	PVD11	PVD12	PVD13	PVD14	PVD15	LHT_1	LHT_2	LHT_3	LHT_4	LHT_5	LHT_6	LHT_7	LHT_8	cSES_1	cSES_2	cSES_3	hearprob	recentill	training	training_TEXT	audioissue1	audioissue2	debrief	DO-BR-FL_7	DO-BR-FL_78	DO-Q-race	X145	PVD5r	PVD12r	PVD14r	PVD3r	PVD11r	PVD13r	pvd_pinfect	pvd_germ	pvd_pinfect_c	pvd_germ_c	rchild_uncertain	rchild_uncertain_c	rchild_ses	rchild_ses_c	soundtest_char	consent_char	inst2_char	hearprob_char	recentill_char	training_char	audioissue1_char	hear_percent	hear_gt50percent	issues
R_T02BnU3KBVKbi5H	Default Response Set	Anonymous	NA	NA	0	2017-01-26T11:54:05Z	2017-01-26T12:02:39Z	1	513	1	1	45.868	45.868	47.544	1	1	NA	1	2	11.984	12.464	14.446	2	1	1	1	1	6	8	1	4	9	0	5	8	1	5	9	1	8	9	1	4	9	1	8	9	1	8	9	0	9	9	1	8	9	0	8	9	0	8	9	0	9	9	0	9	9	0	8	8	1	5	9	1	5	5	1	5	8	0	8	9	1	8	8	0	8	9	0	9	9	0	8	9	1	6	6	4	3	5	3	4	2	2	2	4	3	4	5	4	1	1	1	1	1	1	1	1	6	2	2	1	6	1	NA	1	10	1	d_cough5|n_cough6|d_cough1|n_sneeze8|n_sneeze1|d_cough2|n_cough4|d_sneeze6|d_cough8|n_cough2|n_sneeze10|n_sneeze5|d_cough3|n_sneeze2|d_sneeze4|n_cough5|d_sneeze5|d_sneeze1|n_cough1|d_sneeze7	infant_d_cough1|infant_d_cough2|infant_n_cough2|infant_n_cough1	7|1|2|3|4|5|6|8	NA	3	5	3	4	4	4	3.4285714285714284	3.875	-0.017582417582417964	-0.6192307692307688	1	-1.8163461538461538	3.3333333333333335	-0.9589743589743587	Yes, I can hear the sound easily and am ready to begin the study.	I agree	Yes	No, not at all	A few months ago	No	Yes, I had issues getting some audio clips to work correctly.	0.9	1	1
R_3DqMJRqy204VhTA	Default Response Set	Anonymous	NA	NA	0	2017-01-26T11:59:58Z	2017-01-26T12:06:41Z	1	402	1	1	3.824	3.824	43.465	1	1	NA	1	2	1.038	1.038	27.21	1	1	1	5	0	1	1	0	1	9	0	1	9	0	1	6	1	1	9	1	1	9	1	1	9	1	1	9	1	1	9	0	1	9	0	1	7	0	1	7	0	5	9	0	1	9	1	1	9	1	1	9	1	1	9	1	1	1	1	1	9	0	9	9	0	9	1	0	9	1	0	7	1	1	1	1	7	7	7	1	1	1	1	1	7	7	4	7	1	6	2	2	1	1	1	6	1	6	5	5	1	6	1	NA	2	NA	1	n_cough5|n_sneeze1|n_sneeze10|d_cough2|n_cough2|n_sneeze2|d_sneeze4|d_sneeze7|d_cough1|n_sneeze5|d_cough5|n_cough6|d_sneeze6|n_sneeze8|n_cough1|n_cough4|d_cough3|d_cough8|d_sneeze5|d_sneeze1	infant_d_cough1|infant_n_cough1|infant_n_cough2|infant_d_cough2	7|1|2|3|4|5|6|8	NA	1	1	1	1	1	4	1	2.125	-2.4461538461538463	-2.369230769230769	2.5	-0.31634615384615383	5.333333333333333	1.0410256410256409	Yes, I can hear the sound easily and am ready to begin the study.	I agree	Yes	No, not at all	A few months ago	No	No, I didn't have any issues getting the audio clips to work correctly.	1	1	0
R_2dmacnSW5ksJvxF	Default Response Set	Anonymous	NA	NA	0	2017-01-26T12:04:37Z	2017-01-26T12:09:12Z	1	273	1	1	19.413	19.413	20.187	1	1	NA	1	2	6.164	6.164	7.72	1	1	5	5	0	7	9	1	8	9	0	7	6	1	8	9	1	8	8	1	8	7	1	6	7	1	9	9	1	8	9	0	8	8	1	8	9	0	7	9	0	8	8	0	8	8	1	8	8	1	6	7	1	8	6	1	7	8	1	7	5	1	8	8	0	6	7	0	7	6	0	8	8	1	7	3	6	6	4	3	2	3	6	3	7	4	4	3	3	5	6	5	5	2	2	6	5	1	1	1	1	5	1	NA	2	NA	1	n_cough2|d_cough1|d_cough2|d_cough3|n_cough4|d_sneeze1|d_sneeze5|n_sneeze10|d_cough5|d_sneeze6|n_sneeze2|d_cough8|n_cough6|n_sneeze8|n_cough5|n_sneeze1|d_sneeze7|n_cough1|d_sneeze4|n_sneeze5	infant_n_cough2|infant_n_cough1|infant_d_cough2|infant_d_cough1	7|1|2|3|4|5|6|8	NA	4	4	5	2	1	4	3.5714285714285716	3.875	0.12527472527472527	-0.6192307692307688	4.5	1.6836538461538462	1	-3.292307692307692	Yes, I can hear the sound easily and am ready to begin the study.	I agree	Yes	No, not at all	A month ago	No	No, I didn't have any issues getting the audio clips to work correctly.	1	1	0
R_RemUSys0AJDgCTn	Default Response Set	Anonymous	NA	NA	0	2017-01-26T12:04:26Z	2017-01-26T12:19:53Z	1	926	1	1	14.109	14.109	16.28	1	1	NA	1	2	10.431	10.431	11.83	1	1	7	8	0	8	9	1	6	8	0	7	9	1	9	9	1	7	9	1	4	9	1	9	9	1	8	9	0	6	9	0	8	9	0	7	9	0	7	9	1	7	8	0	9	9	0	8	9	0	8	9	1	7	7	0	7	8	1	8	9	0	9	9	0	9	9	0	9	9	0	8	9	1	5	5	3	7	5	4	5	6	3	3	2	5	5	3	5	6	6	4	5	5	6	4	4	5	5	6	1	7	1	NA	2	NA	1	n_sneeze5|d_cough2|d_sneeze1|d_cough5|d_sneeze7|n_sneeze10|d_sneeze6|n_cough5|n_cough4|n_sneeze8|d_cough1|d_cough3|n_cough2|d_cough8|d_sneeze5|d_sneeze4|n_cough6|n_sneeze1|n_cough1|n_sneeze2	infant_n_cough2|infant_n_cough1|infant_d_cough2|infant_d_cough1	7|1|2|3|4|5|6|8	NA	3	3	5	5	6	3	4.142857142857143	4.875	0.6967032967032969	0.3807692307692312	5	2.183653846153846	5.333333333333333	1.0410256410256409	Yes, I can hear the sound easily and am ready to begin the study.	I agree	Yes	No, not at all	A year or more ago	No	No, I didn't have any issues getting the audio clips to work correctly.	1	1	0
R_22XkGbitOor8BWC	Default Response Set	Anonymous	NA	NA	0	2017-01-26T12:22:32Z	2017-01-26T12:29:52Z	1	440	1	1	11.431	11.431	12.497	1	1	NA	1	2	1.301	1.301	52.212	1	0	7	9	0	8	9	1	6	9	1	5	9	1	5	9	1	6	9	1	6	9	1	5	9	1	6	9	1	6	9	1	7	9	0	7	9	0	7	9	0	8	9	0	8	9	0	6	9	1	6	9	1	8	9	1	6	9	1	6	9	0	6	9	0	7	9	1	2	6	1	5	9	1	7	2	6	5	6	2	5	2	1	2	6	6	6	7	2	2	2	2	2	2	2	2	2	7	7	7	1	6	1	NA	2	NA	1	n_cough2|d_cough2|n_cough4|n_sneeze8|d_sneeze4|n_sneeze1|d_sneeze5|d_cough5|d_sneeze1|d_sneeze6|n_sneeze10|n_cough1|d_cough8|d_sneeze7|n_cough6|d_cough3|n_cough5|d_cough1|n_sneeze2|n_sneeze5	infant_n_cough1|infant_d_cough2|infant_d_cough1|infant_n_cough2	7|1|2|3|4|5|6|8	NA	2	2	1	2	2	2	1.8571428571428572	3.25	-1.5890109890109891	-1.2442307692307688	2	-0.8163461538461538	7	2.707692307692308	Yes, I can hear the sound easily and am ready to begin the study.	I agree	Yes	No, not at all	A few months ago	No	No, I didn't have any issues getting the audio clips to work correctly.	1	1	0
R_1KpaWARUycRRe1x	Default Response Set	Anonymous	NA	NA	0	2017-01-26T12:23:08Z	2017-01-26T12:33:28Z	1	620	1	1	15.449	15.449	16.539	1	1	NA	1	2	21.503	22.143	22.909	2	1	1	1	0	6	7	1	8	9	1	6	8	1	5	7	0	7	8	0	6	9	1	5	9	1	7	9	1	7	9	1	7	9	0	6	9	1	6	9	0	9	8	0	4	9	0	7	8	0	7	9	1	6	9	1	8	9	0	7	8	0	7	9	0	9	7	0	7	6	0	9	7	1	7	3	7	6	7	1	3	1	7	1	3	6	7	7	4	5	3	2	2	6	1	7	2	7	7	7	1	6	2	NA	1	10	1	n_cough2|d_sneeze5|n_sneeze8|n_cough4|n_sneeze5|n_cough6|n_sneeze2|d_cough3|d_sneeze6|d_cough2|n_cough5|n_cough1|d_cough8|n_sneeze10|d_sneeze1|n_sneeze1|d_sneeze7|d_cough5|d_sneeze4|d_cough1	infant_d_cough1|infant_n_cough2|infant_d_cough2|infant_n_cough1	7|1|2|3|4|5|6|8	NA	1	2	1	1	5	1	1.4285714285714286	4.25	-2.0175824175824175	-0.2442307692307688	3.5	0.6836538461538462	7	2.707692307692308	Yes, I can hear the sound easily and am ready to begin the study.	I agree	Yes	No, not at all	A few months ago	Yes (please specify)	Yes, I had issues getting some audio clips to work correctly.	0.9	1	1
R_PIOA9od9XwXDbTr	Default Response Set	Anonymous	NA	NA	0	2017-01-26T12:44:29Z	2017-01-26T12:58:19Z	1	830	1	1	20.071	20.071	21.238	1	1	NA	1	2	47.193	53.944	55.734	2	1	1	1	0	9	9	0	9	9	0	4	7	0	7	9	0	9	7	0	7	8	0	8	9	0	7	6	0	7	8	0	8	9	0	8	9	0	7	9	0	7	9	0	7	9	0	7	9	0	9	8	0	7	8	0	9	7	0	7	9	0	9	9	0	7	9	0	7	9	0	8	6	1	6	4	5	6	4	5	3	5	6	4	5	6	3	5	6	6	5	6	5	2	5	6	5	6	5	6	1	1	1	NA	2	NA	1	d_cough3|n_sneeze8|n_cough2|d_cough2|n_sneeze2|d_sneeze5|d_cough8|d_cough1|d_sneeze1|d_sneeze4|d_sneeze7|n_cough4|d_cough5|n_sneeze10|n_cough6|n_cough5|n_sneeze5|n_sneeze1|n_cough1|d_sneeze6	infant_n_cough1|infant_d_cough2|infant_n_cough2|infant_d_cough1	7|1|2|3|4|5|6|8	NA	4	2	3	3	3	5	3.857142857142857	4.75	0.41098901098901086	0.2557692307692312	5	2.183653846153846	5.666666666666667	1.3743589743589748	Yes, I can hear the sound easily and am ready to begin the study.	I agree	Yes	No, not at all	Today	No	No, I didn't have any issues getting the audio clips to work correctly.	1	1	0
R_yHAAJk1DOWKqcX7	Default Response Set	Anonymous	NA	NA	0	2017-01-26T12:58:34Z	2017-01-26T13:07:12Z	1	517	1	1	4.608	4.608	7.237	1	1	NA	1	2	2.693	2.693	32.746	1	1	3	2	0	5	9	0	7	9	0	4	9	1	3	9	1	5	9	1	6	9	1	4	9	1	4	9	0	6	9	1	5	9	0	8	9	0	6	9	0	8	9	0	6	9	1	5	9	1	7	9	1	6	9	0	5	9	0	5	9	0	9	9	0	9	9	0	9	9	0	7	9	1	7	7	1	6	3	3	6	3	5	3	4	4	1	4	5	5	6	4	3	3	2	6	1	3	2	2	1	6	2	RN	1	2	1	d_sneeze7|n_cough5|n_sneeze2|d_sneeze5|d_sneeze1|n_sneeze10|d_cough2|n_cough1|d_cough5|n_sneeze1|n_cough2|n_sneeze8|d_sneeze4|d_cough8|n_cough4|d_cough1|d_cough3|n_cough6|n_sneeze5|d_sneeze6	infant_d_cough1|infant_n_cough1|infant_n_cough2|infant_d_cough2	7|1|2|3|4|5|6|8	NA	5	4	4	7	4	7	4.142857142857143	5.875	0.6967032967032969	1.3807692307692312	3.75	0.9336538461538462	2.3333333333333335	-1.9589743589743587	Yes, I can hear the sound easily and am ready to begin the study.	I agree	Yes	No, not at all	A few months ago	Yes (please specify)	Yes, I had issues getting some audio clips to work correctly.	0.1	0	1
R_20ZIYzFRxuLfiP4	Default Response Set	Anonymous	NA	NA	0	2017-01-26T13:10:53Z	2017-01-26T13:32:02Z	1	1268	1	1	21.584	21.584	22.532	1	1	NA	1	2	2.107	8.891	9.754	2	1	5	4	1	5	5	0	4	5	0	6	4	0	5	5	1	4	5	0	6	6	1	5	5	1	6	4	0	4	4	0	6	6	0	4	4	0	6	5	1	5	4	0	6	6	1	5	5	0	4	6	0	4	5	1	6	6	0	6	4	0	4	5	0	6	6	1	4	4	0	4	2	1	5	4	3	5	4	5	3	3	4	3	3	5	5	5	3	5	3	5	5	5	3	3	5	5	3	4	1	5	1	NA	1	2	1	n_sneeze10|d_cough1|n_sneeze2|d_sneeze4|n_cough4|d_sneeze1|d_cough8|n_sneeze8|d_cough5|d_sneeze6|d_cough2|n_cough1|d_sneeze5|n_sneeze1|n_sneeze5|n_cough6|n_cough5|d_cough3|n_cough2|d_sneeze7	infant_n_cough2|infant_d_cough2|infant_d_cough1|infant_n_cough1	7|1|2|3|4|5|6|8	NA	4	3	3	5	5	3	3.5714285714285716	4.125	0.12527472527472527	-0.3692307692307688	4.25	1.4336538461538462	4	-0.29230769230769216	Yes, I can hear the sound easily and am ready to begin the study.	I agree	Yes	No, not at all	A month ago	No	Yes, I had issues getting some audio clips to work correctly.	0.1	0	1
R_1mzrX3i9Cn6aerr	Default Response Set	Anonymous	NA	NA	0	2017-01-26T13:33:02Z	2017-01-26T13:40:36Z	1	453	1	1	13.037	13.037	14.029	1	1	NA	1	2	17.649	17.649	18.333	1	1	1	1	0	9	9	1	5	9	1	8	9	1	5	9	1	7	9	1	7	9	1	8	9	0	5	9	1	7	9	0	6	9	1	6	9	0	7	9	0	6	9	0	7	9	1	5	9	1	8	9	1	9	9	1	7	9	1	7	9	0	9	9	1	5	9	0	9	9	0	9	9	1	5	1	4	5	7	1	1	1	2	1	7	7	7	7	4	1	1	1	1	1	1	1	1	3	2	2	1	7	1	NA	1	10	1	n_cough4|d_cough8|d_sneeze5|d_sneeze7|n_cough5|n_cough6|n_sneeze2|d_sneeze1|n_sneeze5|d_cough1|d_sneeze6|d_cough2|n_sneeze8|n_sneeze1|d_sneeze4|d_cough5|n_cough1|d_cough3|n_cough2|n_sneeze10	infant_n_cough1|infant_d_cough2|infant_n_cough2|infant_d_cough1	7|1|2|3|4|5|6|8	NA	1	1	1	4	1	1	1	2.875	-2.4461538461538463	-1.6192307692307688	1	-1.8163461538461538	2.3333333333333335	-1.9589743589743587	Yes, I can hear the sound easily and am ready to begin the study.	I agree	Yes	No, not at all	A year or more ago	No	Yes, I had issues getting some audio clips to work correctly.	0.9	1	1
